Row,Class,Block,V2 Length,V2 Width,V2 Area,V3 Length,V3 Width,V3 Area,V4 Length,V4 Width,V4 Area,V5 Length,V5 Width,V5 Area,V6 Length,V6 Width,V6 Area,V7 Length,V7 Width,V7 Area,V8 Length,V8 Width,V8 Area,V9 Length,V9 Width,V9 Area,V10 Length,V10 Width,V10 Area,V11 Length,V11 Width,V11 Area,V12 Length,V12 Width,V12 Area,V13 Length,V13 Width,V13 Area,V14 Length,V14 Width,V14 Area,V15 Length,V15 Width,V15 Area,V16 Length,V16 Width,V16 Area,V17 Length,V17 Width,V17 Area,V18 Length,V18 Width,V18 Area,V19 Length,V19 Width,V19 Area,V20 Length,V20 Width,V20 Area
AS23-0897.04,WT,Block 3,12.7,1.5,14.2875,17,2.1,26.775,24.4,3,54.9,35.9,3.4,91.545,43,3.9,125.775,47.8,4.8,172.08,54,5.5,222.75,62.1,6.3,293.4225,68,6.4,326.4,65.8,7.9,383.3,70.6,8.2,427.54,69.4,7.8,393.51,73.7,10,508.72,72.9,9.4,454.18,65.6,9.6,446.4,68.6,9,433.02,52.1,8.6,363.6,50.1,7.3,288.29,38.6,6,167.99
AS23-0897.05,WT,Block 3,10.1,1.4,10.605,14.4,1.9,20.52,21.1,2.6,41.145,30.8,3.2,73.92,39.8,3.8,113.43,41.4,4.4,136.62,48.5,5,181.875,57.3,5.5,236.3625,61.3,5.8,266.655,61.5,6.8,286.57,67.3,7.2,354.07,73.8,8.4,424.72,80.9,9.2,533.06,87.2,10,610.14,78,9.4,582.33,145.7,9.1,544.45,63.7,8.3,402.24,57.8,7.4,310.76,46.9,6.6,232.98
AS23-0897.06,WT,Block 3,10.5,1.6,12.6,15.5,2.3,26.7375,23.4,2.8,49.14,32.2,3.5,84.525,41.3,3.9,120.8025,48.4,4.8,174.24,55.6,5.2,216.84,62.4,6.1,285.48,69.6,6.6,344.52,67.5,7.5,357.85,74.5,7.9,396.73,78.3,8.8,520.56,85,9.9,605.2,78.4,9.9,585.12,75.3,9.4,548.49,66.2,8.8,467.98,60.9,7.9,382.61,52,6.9,288.32,37.8,6,163.66
AS23-0897.08,WT,Block 3,11.3,1.5,12.7125,16.4,2.2,27.06,23,2.8,48.3,30.3,3.4,77.265,40.7,4,122.1,44.3,4.8,159.48,53.4,5.6,224.28,58.6,5.8,254.91,64.3,6.6,318.285,60.7,7,313.72,65.6,7.8,385.3,72.8,8.5,450.18,75.5,9.4,494.43,76.6,8.5,449.76,79.7,9.9,573.85,81.8,9.3,563.88,70.9,8.7,463.69,58,7.5,352.9,53,6.7,274.46
AS23-0897.09,WT,Block 3,13.6,1.2,12.24,16.5,1.9,23.5125,24.2,2.7,49.005,31.8,3.3,78.705,38.9,3.8,110.865,43,4.3,138.675,51.4,4.8,185.04,60.1,5.9,265.9425,65,6.4,312,66.4,7.1,357.08,71.9,7.9,410.24,78.8,9,519.15,81.3,9.4,549.42,85.7,9.8,623.51,75,9.8,594.83,68.8,9.1,515.4,65.6,8.5,449.72,59.7,7.4,328.68,54.4,6.5,254.75
AS23-0897.12,WT,Block 3,10.2,1.5,11.475,15.4,2,23.1,22.4,2.8,47.04,30.7,3.3,75.9825,39.3,4.1,120.8475,44.9,4.5,151.5375,52.3,5.4,211.815,57.5,6,258.75,67.2,6.6,332.64,58.2,7.3,325.93,68,8.3,393.77,68.8,9.1,451.6,80.3,9.6,502.25,80.2,10.1,579.15,78.2,10.3,601.21,77.3,9.6,558.87,67.7,8.8,469.99,61,7.9,353.86,49.9,6.8,260.4
AS23-0897.13,WT,Block 3,11,1.4,11.55,16.8,2.1,26.46,23.7,2.9,51.5475,33.7,3.5,88.4625,43.8,4,131.4,50.1,4.5,169.0875,53,5.5,218.625,64.3,6.3,303.8175,67.3,6.8,343.23,63.6,8.3,405.79,71.5,8.6,483.62,80,8.9,566.91,81.9,10,608.31,77.3,10.1,594.28,75.6,9.8,587.62,69.9,9,498.99,59.2,8,381.87,53.3,6.9,280.27,32.3,5.1,121.59
AS23-0897.14,WT,Block 3,12.1,1.6,14.52,16.7,2.4,30.06,25.6,2.9,55.68,34.8,3.4,88.74,41.1,4,123.3,50.8,4.8,182.88,56.2,5.6,236.04,64.6,6.5,314.925,69.5,7.2,375.3,68.9,8.2,424.18,75.1,8.7,441.94,79.1,9.6,538.28,85.1,9.8,599.4,83.5,10.6,647.59,75.7,10.1,582.26,72.1,9.5,544.71,61.7,8.6,418.96,56.2,7.7,328.69,48.5,6.5,233.43
AS23-0940.02,WT,Block 4,10.4,1.6,12.48,14.3,2.1,22.5225,21.2,2.5,39.75,28.7,3.2,68.88,37.6,3.8,107.16,45.4,4.6,156.63,53.2,5.3,211.47,63.2,6.4,303.36,72.3,7.1,384.9975,69.2,8.5,445.24,75.3,8.9,518.97,79.7,9.5,594.98,85.2,10.4,639.74,81.4,10.5,640.84,84.1,10.6,642.05,75.4,9.5,573.79,66,8.9,478.39,61.5,7.8,381.34,54,6.6,280.3
AS23-0940.03,WT,Block 4,11.8,1.6,14.16,17,2.1,26.775,24.8,2.9,53.94,30.7,3.4,78.285,41,3.8,116.85,47.6,4.8,171.36,55.4,5.6,232.68,62.9,6.8,320.79,70.8,7.2,382.32,67.6,8.5,385.25,74.1,9.4,519.26,74.4,9.6,545.74,84.7,10.2,628.99,85,10.3,549.83,77.6,9.6,598.43,79.4,10,617.71,64.2,9.2,493.68,60.5,8.3,404.91,56.2,7,298.85
